image name,label,confidence
0083635a-c401-4236-995a-79b50623f313_image_1.jpg,bed,0.74
0083635a-c401-4236-995a-79b50623f313_image_2.jpg,bed,0.69
0083635a-c401-4236-995a-79b50623f313_image_3.jpg,bed,0.74
0083635a-c401-4236-995a-79b50623f313_image_4.jpg,bed,0.78
0083635a-c401-4236-995a-79b50623f313_image_5.jpg,bed,0.84
0083635a-c401-4236-995a-79b50623f313_image_6.jpg,bed,0.47
0083635a-c401-4236-995a-79b50623f313_image_7.jpg,bed,0.7
01a9e82b-6618-413f-8943-79571ab823d3_image_1.jpg,bed,0.85
01a9e82b-6618-413f-8943-79571ab823d3_image_2.jpg,bed,0.63
01a9e82b-6618-413f-8943-79571ab823d3_image_3.jpg,bed,0.51
01a9e82b-6618-413f-8943-79571ab823d3_image_3.jpg,bed,0.39
01a9e82b-6618-413f-8943-79571ab823d3_image_4.jpg,bed,0.81
01c6bae1-1ac9-4947-a561-eaa67b0f3044_image_1.jpg,bed,0.47
01c6bae1-1ac9-4947-a561-eaa67b0f3044_image_1.jpg,bed,0.42
01c6bae1-1ac9-4947-a561-eaa67b0f3044_image_2.jpg,bed,0.69
01c6bae1-1ac9-4947-a561-eaa67b0f3044_image_2.jpg,bed,0.36
01c6bae1-1ac9-4947-a561-eaa67b0f3044_image_3.jpg,bed,0.61
01c6bae1-1ac9-4947-a561-eaa67b0f3044_image_4.jpg,bed,0.41
01c6bae1-1ac9-4947-a561-eaa67b0f3044_image_5.jpg,bed,0.5
01c6bae1-1ac9-4947-a561-eaa67b0f3044_image_6.jpg,bed,0.55
022ecd71-842c-4102-8a84-660f0a057272_image_1.jpg,bed,0.78
022ecd71-842c-4102-8a84-660f0a057272_image_2.jpg,bed,0.7
022ecd71-842c-4102-8a84-660f0a057272_image_3.jpg,bed,0.78
022ecd71-842c-4102-8a84-660f0a057272_image_4.jpg,bed,0.85
022ecd71-842c-4102-8a84-660f0a057272_image_5.jpg,bed,0.76
022ecd71-842c-4102-8a84-660f0a057272_image_6.jpg,bed,0.8
022ecd71-842c-4102-8a84-660f0a057272_image_7.jpg,bed,0.77
0239b625-fc80-4a37-9280-168ecea1c86c_image_1.jpg,bed,0.73
0239b625-fc80-4a37-9280-168ecea1c86c_image_2.jpg,bed,0.73
0239b625-fc80-4a37-9280-168ecea1c86c_image_3.jpg,bed,0.54
0239b625-fc80-4a37-9280-168ecea1c86c_image_3.jpg,bed,0.44
0239b625-fc80-4a37-9280-168ecea1c86c_image_4.jpg,bed,0.86
0239b625-fc80-4a37-9280-168ecea1c86c_image_5.jpg,bed,0.84
0239b625-fc80-4a37-9280-168ecea1c86c_image_6.jpg,bed,0.77
0239b625-fc80-4a37-9280-168ecea1c86c_image_7.jpg,bed,0.79
0266be41-5f66-49fa-a1ae-a883c18a031f_image_1.jpg,bed,0.47
0266be41-5f66-49fa-a1ae-a883c18a031f_image_1.jpg,bed,0.36
0266be41-5f66-49fa-a1ae-a883c18a031f_image_2.jpg,bed,0.68
02812f63-50d3-49b5-88f7-4c57d497f804_image_1.jpg,bed,0.78
02812f63-50d3-49b5-88f7-4c57d497f804_image_2.jpg,bed,0.76
02812f63-50d3-49b5-88f7-4c57d497f804_image_3.jpg,bed,0.84
02812f63-50d3-49b5-88f7-4c57d497f804_image_4.jpg,bed,0.65
02812f63-50d3-49b5-88f7-4c57d497f804_image_5.jpg,bed,0.7
02812f63-50d3-49b5-88f7-4c57d497f804_image_6.jpg,bed,0.47
02f63e3e-a40c-40e2-809e-5878a778d9f0_image_1.jpg,bed,0.4
02f63e3e-a40c-40e2-809e-5878a778d9f0_image_1.jpg,bed,0.37
02f63e3e-a40c-40e2-809e-5878a778d9f0_image_2.jpg,bed,0.64
02f63e3e-a40c-40e2-809e-5878a778d9f0_image_3.jpg,bed,0.46
030be61f-0c9e-4cb7-b26e-7a09e309a4fb_image_1.jpg,bed,0.64
030be61f-0c9e-4cb7-b26e-7a09e309a4fb_image_2.jpg,bed,0.61
030be61f-0c9e-4cb7-b26e-7a09e309a4fb_image_3.jpg,bed,0.54
03a5d060-0e90-4f6e-90e0-e31aa2a65353_image_1.jpg,bed,0.62
03a5d060-0e90-4f6e-90e0-e31aa2a65353_image_2.jpg,bed,0.57
03a5d060-0e90-4f6e-90e0-e31aa2a65353_image_3.jpg,bed,0.85
03a5d060-0e90-4f6e-90e0-e31aa2a65353_image_4.jpg,bed,0.79
03ac3423-0af1-4a39-827c-bd104d2bb9ea_image_1.jpg,bed,0.56
03ac3423-0af1-4a39-827c-bd104d2bb9ea_image_1.jpg,bed,0.56
03ac3423-0af1-4a39-827c-bd104d2bb9ea_image_1.jpg,bed,0.43
03ac3423-0af1-4a39-827c-bd104d2bb9ea_image_2.jpg,bed,0.53
03ac3423-0af1-4a39-827c-bd104d2bb9ea_image_2.jpg,bed,0.41
03ac3423-0af1-4a39-827c-bd104d2bb9ea_image_2.jpg,bed,0.53
03ac3423-0af1-4a39-827c-bd104d2bb9ea_image_3.jpg,bed,0.84
03ac3423-0af1-4a39-827c-bd104d2bb9ea_image_4.jpg,bed,0.58
03ac3423-0af1-4a39-827c-bd104d2bb9ea_image_4.jpg,bed,0.6
03ac3423-0af1-4a39-827c-bd104d2bb9ea_image_4.jpg,bed,0.41
03d5bf96-059f-4b8c-acd9-3bb0160416a4_image_1.jpg,bed,0.61
03d5bf96-059f-4b8c-acd9-3bb0160416a4_image_1.jpg,bed,0.38
03d5bf96-059f-4b8c-acd9-3bb0160416a4_image_2.jpg,bed,0.68
03d5bf96-059f-4b8c-acd9-3bb0160416a4_image_3.jpg,bed,0.71
03ff3224-ff31-4996-b2a5-9244dd3ddb5b_image_1.jpg,bed,0.5
03ff3224-ff31-4996-b2a5-9244dd3ddb5b_image_1.jpg,bed,0.54
03ff3224-ff31-4996-b2a5-9244dd3ddb5b_image_2.jpg,bed,0.41
03ff3224-ff31-4996-b2a5-9244dd3ddb5b_image_2.jpg,bed,0.42
03ff3224-ff31-4996-b2a5-9244dd3ddb5b_image_3.jpg,bed,0.48
03ff3224-ff31-4996-b2a5-9244dd3ddb5b_image_3.jpg,bed,0.38
03ff3224-ff31-4996-b2a5-9244dd3ddb5b_image_4.jpg,bed,0.66
03ff3224-ff31-4996-b2a5-9244dd3ddb5b_image_4.jpg,bed,0.4
03ff3224-ff31-4996-b2a5-9244dd3ddb5b_image_5.jpg,bed,0.71
03ff3224-ff31-4996-b2a5-9244dd3ddb5b_image_6.jpg,bed,0.52
060dc3cb-c36c-47af-85ad-715f66d2af21_image_1.jpg,bed,0.83
060dc3cb-c36c-47af-85ad-715f66d2af21_image_2.jpg,bed,0.75
060dc3cb-c36c-47af-85ad-715f66d2af21_image_3.jpg,bed,0.78
060dc3cb-c36c-47af-85ad-715f66d2af21_image_4.jpg,bed,0.83
060dc3cb-c36c-47af-85ad-715f66d2af21_image_5.jpg,bed,0.84
060dc3cb-c36c-47af-85ad-715f66d2af21_image_6.jpg,bed,0.81
060dc3cb-c36c-47af-85ad-715f66d2af21_image_7.jpg,bed,0.8
066be988-9374-4531-9ca6-4df958b56751_image_1.jpg,bed,0.74
066be988-9374-4531-9ca6-4df958b56751_image_2.jpg,bed,0.7
066be988-9374-4531-9ca6-4df958b56751_image_3.jpg,bed,0.76
066be988-9374-4531-9ca6-4df958b56751_image_4.jpg,bed,0.82
066be988-9374-4531-9ca6-4df958b56751_image_5.jpg,bed,0.84
066be988-9374-4531-9ca6-4df958b56751_image_6.jpg,bed,0.79
066be988-9374-4531-9ca6-4df958b56751_image_7.jpg,bed,0.72
066be988-9374-4531-9ca6-4df958b56751_image_8.jpg,bed,0.78
06ac404b-75fe-494a-91db-3eb268cd507e_image_1.jpg,bed,0.84
06ac404b-75fe-494a-91db-3eb268cd507e_image_2.jpg,bed,0.82
06ac404b-75fe-494a-91db-3eb268cd507e_image_3.jpg,bed,0.81
06ac404b-75fe-494a-91db-3eb268cd507e_image_4.jpg,bed,0.84
06ac404b-75fe-494a-91db-3eb268cd507e_image_5.jpg,bed,0.78
