Site_id,Product_id,Product_Name,Sku,Variant,Category,Processed_Categories,Department,Tags,BrandName,Tagline,Material,MaterialCategory,Color,ColorGroup,FinishColor,FinishColorGroup,Features,Product_Description,Product_Addional_Info,Product_Construction_Info,Product_Width,Product_Length,Product_Height,Unit,Image_Id,Image_Url,Downloaded_Image_Id,Class
201cb789-4198-488b-a5eb-4e7df0fb4bee,prod2200184,concord bookcase,BO-PKCO48L,"Concord 48"" Bookcase Light",dining,bookcases shelves,office,bookcases shelves,furniture row,storage that caters to you,MDF,Wood,,,Light,Light Brown,storage | open shelf,get the storage that caters to your space with the concord bookcase crafted with american oak veneers this furnishing features traditional styling a wire access hole in the bottom and adjustable shelves with classic molding on the top and bottom this piece is a staple for every home the concord is available in your choice of a light espresso or burnished dark finishes as well as white paint and comes in 36 48 60 72 or 84 heights images of the white coming soon ,36 bookcase 31 l x 13 d x 36 h48 bookcase 31 l x 13 d x 48 h60 bookcase 31 l x 13 d x 60 h72 bookcase 31 l x 13 d x 72 h84 bookcase 31 l x 13 d x 84 h,american oak veneers in numerous finishes adjustable shelves in 2 5 increments wire access hole in bottom backs screwed and stapled to frame,13.0,31.0,48.0,in,prod2200184_BO-PKCO48L_image_1,https://furniturerow.scene7.com/is/image/FurnitureRow/ConcordBookcaseGroupDark2?$original$,prod2200184_image_1,Shelves
201cb789-4198-488b-a5eb-4e7df0fb4bee,f87b2edf-7ea0-43d0-8ecd-0bf68b05e517,concord ii bookcase,BO-PKC284W,"Concord II 84"" White Bookcase",dining,bookcases shelves,office,bookcases shelves,furniture row,,Oak | Select Hardwoods,Wood | Wood,,,White,White,shelves | wire management,get the storage that caters to your space with the concord ii bookcase crafted with american oak veneers this furnishing features traditional styling a wire access hole in the bottom and adjustable shelves with classic molding on the top and bottom this piece is a staple for every home the concord ii is available in your choice of a white espresso or oak finishes and comes in 36 48 60 72 or 84 heights ,36 30 7 l x 12 7 d x 36 h 48 30 7 l x 12 7 d x 48 h 60 30 7 l x 12 7 d x 60 h 72 30 7 l x 12 7 d x 72 h 84 30 7 l x 12 7 d x 84 h,made of oak veneer and select hardwood wire management 5 sizes 3 colors some assembly required,12.7,30.7,84.0,in,f87b2edf-7ea0-43d0-8ecd-0bf68b05e517_BO-PKC284W_image_2,https://furniturerow.scene7.com/is/image/FurnitureRow/CONCORDII36inBOOKCASEEspresso2?$original$,f87b2edf-7ea0-43d0-8ecd-0bf68b05e517_image_2,Shelves
201cb789-4198-488b-a5eb-4e7df0fb4bee,prod2200184,concord bookcase,BO-PKCO36D,"Concord 36"" Bookcase Dark",dining,bookcases shelves,office,bookcases shelves,furniture row,storage that caters to you,MDF,Wood,,,Dark,Dark Brown,storage | open shelf,get the storage that caters to your space with the concord bookcase crafted with american oak veneers this furnishing features traditional styling a wire access hole in the bottom and adjustable shelves with classic molding on the top and bottom this piece is a staple for every home the concord is available in your choice of a light espresso or burnished dark finishes as well as white paint and comes in 36 48 60 72 or 84 heights images of the white coming soon ,36 bookcase 31 l x 13 d x 36 h48 bookcase 31 l x 13 d x 48 h60 bookcase 31 l x 13 d x 60 h72 bookcase 31 l x 13 d x 72 h84 bookcase 31 l x 13 d x 84 h,american oak veneers in numerous finishes adjustable shelves in 2 5 increments wire access hole in bottom backs screwed and stapled to frame,13.0,31.0,36.0,in,prod2200184_BO-PKCO36D_image_3,https://furniturerow.scene7.com/is/image/FurnitureRow/ConcordBookcaseGroupDark1?$original$,prod2200184_image_3,Shelves
201cb789-4198-488b-a5eb-4e7df0fb4bee,prod2200184,concord bookcase,BO-PKCO48W,"Concord 48"" Bookcase White",dining,bookcases shelves,office,bookcases shelves,furniture row,storage that caters to you,MDF,Wood,,,White,White,storage | open shelf,get the storage that caters to your space with the concord bookcase crafted with american oak veneers this furnishing features traditional styling a wire access hole in the bottom and adjustable shelves with classic molding on the top and bottom this piece is a staple for every home the concord is available in your choice of a light espresso or burnished dark finishes as well as white paint and comes in 36 48 60 72 or 84 heights images of the white coming soon ,36 bookcase 31 l x 13 d x 36 h48 bookcase 31 l x 13 d x 48 h60 bookcase 31 l x 13 d x 60 h72 bookcase 31 l x 13 d x 72 h84 bookcase 31 l x 13 d x 84 h,american oak veneers in numerous finishes adjustable shelves in 2 5 increments wire access hole in bottom backs screwed and stapled to frame,13.0,31.0,48.0,in,prod2200184_BO-PKCO48W_image_2,https://furniturerow.scene7.com/is/image/FurnitureRow/Concord36inBookcaseDark2?$original$,prod2200184_image_2,Shelves
201cb789-4198-488b-a5eb-4e7df0fb4bee,prod2200184,concord bookcase,BO-PKCO84W,"Concord 84"" Bookcase White",dining,bookcases shelves,office,bookcases shelves,furniture row,storage that caters to you,MDF,Wood,,,White,White,storage | open shelf,get the storage that caters to your space with the concord bookcase crafted with american oak veneers this furnishing features traditional styling a wire access hole in the bottom and adjustable shelves with classic molding on the top and bottom this piece is a staple for every home the concord is available in your choice of a light espresso or burnished dark finishes as well as white paint and comes in 36 48 60 72 or 84 heights images of the white coming soon ,36 bookcase 31 l x 13 d x 36 h48 bookcase 31 l x 13 d x 48 h60 bookcase 31 l x 13 d x 60 h72 bookcase 31 l x 13 d x 72 h84 bookcase 31 l x 13 d x 84 h,american oak veneers in numerous finishes adjustable shelves in 2 5 increments wire access hole in bottom backs screwed and stapled to frame,13.0,31.0,84.0,in,prod2200184_BO-PKCO84W_image_2,https://furniturerow.scene7.com/is/image/FurnitureRow/Concord36inBookcaseDark2?$original$,prod2200184_image_2,Shelves
201cb789-4198-488b-a5eb-4e7df0fb4bee,f87b2edf-7ea0-43d0-8ecd-0bf68b05e517,concord ii bookcase,BO-PKC236E,"Concord II 36"" Espresso Bookcase",dining,bookcases shelves,office,bookcases shelves,furniture row,,Oak | Select Hardwoods,Wood | Wood,,,Espresso,Dark Brown,shelves | wire management,get the storage that caters to your space with the concord ii bookcase crafted with american oak veneers this furnishing features traditional styling a wire access hole in the bottom and adjustable shelves with classic molding on the top and bottom this piece is a staple for every home the concord ii is available in your choice of a white espresso or oak finishes and comes in 36 48 60 72 or 84 heights ,36 30 7 l x 12 7 d x 36 h 48 30 7 l x 12 7 d x 48 h 60 30 7 l x 12 7 d x 60 h 72 30 7 l x 12 7 d x 72 h 84 30 7 l x 12 7 d x 84 h,made of oak veneer and select hardwood wire management 5 sizes 3 colors some assembly required,12.7,30.7,36.0,in,f87b2edf-7ea0-43d0-8ecd-0bf68b05e517_BO-PKC236E_image_2,https://furniturerow.scene7.com/is/image/FurnitureRow/CONCORDII36inBOOKCASEEspresso2?$original$,f87b2edf-7ea0-43d0-8ecd-0bf68b05e517_image_2,Shelves
201cb789-4198-488b-a5eb-4e7df0fb4bee,f87b2edf-7ea0-43d0-8ecd-0bf68b05e517,concord ii bookcase,BO-PKC248E,"Concord II 48"" Espresso Bookcase",dining,bookcases shelves,office,bookcases shelves,furniture row,,Oak | Select Hardwoods,Wood | Wood,,,Espresso,Dark Brown,shelves | wire management,get the storage that caters to your space with the concord ii bookcase crafted with american oak veneers this furnishing features traditional styling a wire access hole in the bottom and adjustable shelves with classic molding on the top and bottom this piece is a staple for every home the concord ii is available in your choice of a white espresso or oak finishes and comes in 36 48 60 72 or 84 heights ,36 30 7 l x 12 7 d x 36 h 48 30 7 l x 12 7 d x 48 h 60 30 7 l x 12 7 d x 60 h 72 30 7 l x 12 7 d x 72 h 84 30 7 l x 12 7 d x 84 h,made of oak veneer and select hardwood wire management 5 sizes 3 colors some assembly required,12.7,30.7,48.0,in,f87b2edf-7ea0-43d0-8ecd-0bf68b05e517_BO-PKC248E_image_5,https://furniturerow.scene7.com/is/image/FurnitureRow/CONCORDIIBOOKCASEGROUPEspresso?$original$,f87b2edf-7ea0-43d0-8ecd-0bf68b05e517_image_5,Shelves
201cb789-4198-488b-a5eb-4e7df0fb4bee,5c62a17d-c8b8-492e-9ce1-88489fea0b01,van horn bookcase,BO-SAVHWH,Van Horn Bookcase,dining,bookcases shelves,dining,bookcases shelves,samuel lawrence,,Solid Hardwood | Pine,Wood | Wood,,,White,White,shelves,turn any area in your home into a work from home office area with the van horn collection this fresh interpretation of the farmhouse style incorporates a distressed white finish with wood tone tops for a charming counterpoint this bookcase hutch unit has open shelving to display office decor and help keep things organized you can add the credenza base for additional storage van horn will enhance your décor and create a space that invites you in ,35 l x 19 d x 77 75 h,made of pine veneers on pine solids assembly required,19.0,35.0,77.75,in,5c62a17d-c8b8-492e-9ce1-88489fea0b01_BO-SAVHWH_image_6,https://furniturerow.scene7.com/is/image/FurnitureRow/VanHornBookcase6?$original$,5c62a17d-c8b8-492e-9ce1-88489fea0b01_image_6,Shelves
201cb789-4198-488b-a5eb-4e7df0fb4bee,1b46820d-8707-4aeb-84c6-5027051900ba,auburn hills open bookcase,BO-MOAUBRO,Auburn Hills Open Bookcase,dining,bookcases,office,bookcases,modus,,Pine | Solid Hardwood,Wood | Wood,,,Natural,Light Brown,shelves,with all solid wood construction clean lines and functional appeal the auburn hills collection replicates the look of historical farmhouse with the warm appearance of reclaimed wood thick naturally rough hewn planks of butcher block pine form the table top with black cast iron tension rods and cross bracing providing a durable industrial style foundation ,46 l x 16 d x 76 h,made from solid butcher block pine planks assembly required,16.0,46.0,76.0,in,1b46820d-8707-4aeb-84c6-5027051900ba_BO-MOAUBRO_image_2,https://furniturerow.scene7.com/is/image/FurnitureRow/AuburnHillsOpenBookshelf2?$original$,1b46820d-8707-4aeb-84c6-5027051900ba_image_2,Shelves
201cb789-4198-488b-a5eb-4e7df0fb4bee,f87b2edf-7ea0-43d0-8ecd-0bf68b05e517,concord ii bookcase,BO-PKC236E,"Concord II 36"" Espresso Bookcase",dining,bookcases shelves,office,bookcases shelves,furniture row,,Oak | Select Hardwoods,Wood | Wood,,,Espresso,Dark Brown,shelves | wire management,get the storage that caters to your space with the concord ii bookcase crafted with american oak veneers this furnishing features traditional styling a wire access hole in the bottom and adjustable shelves with classic molding on the top and bottom this piece is a staple for every home the concord ii is available in your choice of a white espresso or oak finishes and comes in 36 48 60 72 or 84 heights ,36 30 7 l x 12 7 d x 36 h 48 30 7 l x 12 7 d x 48 h 60 30 7 l x 12 7 d x 60 h 72 30 7 l x 12 7 d x 72 h 84 30 7 l x 12 7 d x 84 h,made of oak veneer and select hardwood wire management 5 sizes 3 colors some assembly required,12.7,30.7,36.0,in,f87b2edf-7ea0-43d0-8ecd-0bf68b05e517_BO-PKC236E_image_2,https://furniturerow.scene7.com/is/image/FurnitureRow/CONCORDII36inBOOKCASEEspresso2?$original$,f87b2edf-7ea0-43d0-8ecd-0bf68b05e517_image_2,Shelves
